title,price,sold,location,link,category_link
PAKET MURMER (3 kebab vakum ori isi 5 TANPA BOX),53.022,"1,4RB Terjual",KAB. KENDAL,https://shopee.co.id/PAKET-MURMER-(3-kebab-vakum-ori-isi-5-TANPA-BOX)-i.72993080.15301243850?sp_atk=b21c5ebb-08fa-4512-8601-6bf594992199&xptdk=b21c5ebb-08fa-4512-8601-6bf594992199,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
KERIPIK KACA 500gr / KERIPIK KACA DAUN JERUK / KRIPIK KACA / KRIPIK BELING,20.900,10RB+ Terjual,KAB. BOGOR,https://shopee.co.id/KERIPIK-KACA-500gr-KERIPIK-KACA-DAUN-JERUK-KRIPIK-KACA-KRIPIK-BELING-i.97050279.13266354092?sp_atk=26c9a1e5-f4fd-41f1-8fbc-01cebdfebc0c&xptdk=26c9a1e5-f4fd-41f1-8fbc-01cebdfebc0c,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453
Shisamo Fish / Ikan Capelin 160-190gr,42.900,"5,2RB Terjual",KOTA DEPOK,https://shopee.co.id/Shisamo-Fish-Ikan-Capelin-160-190gr-i.460486783.23672656281?sp_atk=bd922590-7f15-4864-aa2b-fc72527cf1ad&xptdk=bd922590-7f15-4864-aa2b-fc72527cf1ad,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467
Muesli | Muesly || Muesli Safiya | Muesli Dried Fruit Mix 1 KG Safiya Sereal Makanan Ringan - Sereal Diet Sehat Alami Oatmeal,49.999,740 Terjual,KAB. TANGERANG,https://shopee.co.id/Muesli-Muesly-Muesli-Safiya-Muesli-Dried-Fruit-Mix-1-KG-Safiya-Sereal-Makanan-Ringan-Sereal-Diet-Sehat-Alami-Oatmeal-i.156358358.25958670451?sp_atk=e121b40a-5bdc-4ed6-be4f-42268ecde4c0&xptdk=e121b40a-5bdc-4ed6-be4f-42268ecde4c0,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496
Semprong Loves | Loves Semprong | Semprong Isi Aneka Varian Rasa | ViraL Kekinian Artis | kassaba chib keripik singkong blado pedas,39.770,"2,8RB Terjual",KOTA JAKARTA BARAT,https://shopee.co.id/Semprong-Loves-Loves-Semprong-Semprong-Isi-Aneka-Varian-Rasa-ViraL-Kekinian-Artis-kassaba-chib-keripik-singkong-blado-pedas-i.46176860.10106301905?sp_atk=1a44eea1-5d94-47d5-8e4e-d8226475fad5&xptdk=1a44eea1-5d94-47d5-8e4e-d8226475fad5,https://shopee.co.id/Roti-Kue-cat.11043451.11043544
Ma Ling Luncheon Pork 397 gr TTS Canned / Daging Ham Babi Maling,52.000,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Ma-Ling-Luncheon-Pork-397-gr-TTS-Canned-Daging-Ham-Babi-Maling-i.104640957.4443767884?sp_atk=6a21ef2c-cd6c-402f-a231-cbe8cd09ea50&xptdk=6a21ef2c-cd6c-402f-a231-cbe8cd09ea50,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557
SUSU OSAMILK GEMUK BADAN 500 gram,35.000,"9,4RB Terjual",KAB. BEKASI,https://shopee.co.id/SUSU-OSAMILK-GEMUK-BADAN-500-gram-i.89986699.3557389843?sp_atk=72731bf4-ffd8-4ba0-b231-e906309415d0&xptdk=72731bf4-ffd8-4ba0-b231-e906309415d0,https://shopee.co.id/Susu-Olahan-cat.11043451.11043517
Bubuk Minuman Premium DARK CHOCOLATE -Jakarta Bubble Drink | BPOM&HALAL,70.000,10RB+ Terjual,KOTA JAKARTA SELATAN,https://shopee.co.id/Bubuk-Minuman-Premium-DARK-CHOCOLATE-Jakarta-Bubble-Drink-BPOM-HALAL-i.4570686.226030166?sp_atk=d0369967-ac46-40ad-884c-72f4f4167bde&xptdk=d0369967-ac46-40ad-884c-72f4f4167bde,https://shopee.co.id/Minuman-cat.11043451.11043502
"Trieste Italian Syrup 650mL - Coffee Syrup : Caramel, Vanila, Rum, Hazelnut, Irish Cream, Almond",70.000,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/Trieste-Italian-Syrup-650mL-Coffee-Syrup-Caramel-Vanila-Rum-Hazelnut-Irish-Cream-Almond-i.5551436.8315274367?sp_atk=1da2ac8a-4035-4865-a14e-7f0db61b0123&xptdk=1da2ac8a-4035-4865-a14e-7f0db61b0123,https://shopee.co.id/Minuman-cat.11043451.11043502
[HALAL]shikebuwang lotus spicy snack/lotus snack/cemilan siap saji/食刻不忘香辣藕丁,3.900,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/-HALAL-shikebuwang-lotus-spicy-snack-lotus-snack-cemilan-siap-saji-食刻不忘香辣藕丁-i.160100349.8233891928?sp_atk=8870e371-ce58-467d-ae19-b8600fefa113&xptdk=8870e371-ce58-467d-ae19-b8600fefa113,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
jajanan 07. pangsit tulang rangu,8.900,10RB+ Terjual,KAB. GARUT,https://shopee.co.id/jajanan-07.-pangsit-tulang-rangu-i.136247729.14331225516?sp_atk=f850182f-0380-4ae6-a092-ed66351ce852&xptdk=f850182f-0380-4ae6-a092-ed66351ce852,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
Pesanan Custom R30,70.000,223 Terjual,KOTA SURABAYA,https://shopee.co.id/Pesanan-Custom-R30-i.18805866.22218445776?sp_atk=55caef84-7547-4830-a867-323f3e32fd69&xptdk=55caef84-7547-4830-a867-323f3e32fd69,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
KORNETKU PRONAS 340GR HALAL DAGING KORNET SAPI / CORNED BEEF,22.500,"4,1RB Terjual",KOTA JAKARTA BARAT,https://shopee.co.id/KORNETKU-PRONAS-340GR-HALAL-DAGING-KORNET-SAPI-CORNED-BEEF-i.223306262.19221383451?sp_atk=6f1f7bb6-a775-4f11-b746-356fcd7c9bba&xptdk=6f1f7bb6-a775-4f11-b746-356fcd7c9bba,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557
Kurma Ajwa 1 Kg Asli / Kurma Nabi Super Asli Madinah,90.900,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Kurma-Ajwa-1-Kg-Asli-Kurma-Nabi-Super-Asli-Madinah-i.16892122.169709063?sp_atk=abcaacb5-d95f-4d39-b5a3-d9a4dabe2201&xptdk=abcaacb5-d95f-4d39-b5a3-d9a4dabe2201,https://shopee.co.id/Makanan-Segar-Beku-cat.11043451.11043529
Collins choco crunchy repack 200gram,14.000,"2,6RB Terjual",KOTA SURABAYA,https://shopee.co.id/Collins-choco-crunchy-repack-200gram-i.115048277.20990978798?sp_atk=1b296e0a-f38c-407c-9230-9da9e801c19c&xptdk=1b296e0a-f38c-407c-9230-9da9e801c19c,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496
Jasjus Minuman Buah Segar Instant - Netto 10bks x 8gr,3.500,"8,6RB Terjual",KOTA BANDUNG,https://shopee.co.id/Jasjus-Minuman-Buah-Segar-Instant-Netto-10bks-x-8gr-i.1521932.12985410696?sp_atk=bfc14be8-0b50-4ebf-9dc9-947360aa2c7a&xptdk=bfc14be8-0b50-4ebf-9dc9-947360aa2c7a,https://shopee.co.id/Minuman-cat.11043451.11043502
Paket 5 pcs Sarden ASAHI & BILTAN155gr Saus Tomat ex 2025,31.000,"1,6RB Terjual",KOTA BOGOR,https://shopee.co.id/Paket-5-pcs-Sarden-ASAHI-BILTAN155gr-Saus-Tomat-ex-2025-i.267290010.8758351517?sp_atk=345e9b3d-41a2-499b-8504-5c49f948dcec&xptdk=345e9b3d-41a2-499b-8504-5c49f948dcec,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557
Garam Himalaya Premium 1Kg Pure Super Fine Himsalt Original Asli Dari Pegunungan Himalaya MPASI,14.890,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/Garam-Himalaya-Premium-1Kg-Pure-Super-Fine-Himsalt-Original-Asli-Dari-Pegunungan-Himalaya-MPASI-i.244215950.12510509504?sp_atk=c2c28c41-a7fc-40f5-85d3-7ffd423e385d&xptdk=c2c28c41-a7fc-40f5-85d3-7ffd423e385d,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467
( JSO ) Susu Real Good Susu Bantal UHT 50ml Realgood Mini Strawberry Coklat Cheese Blackcurrant Anggur Guava Orange Keju Chocolate Stroberi Cemilan Anak Snack Murah,999,10RB+ Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/(-JSO-)-Susu-Real-Good-Susu-Bantal-UHT-50ml-Realgood-Mini-Strawberry-Coklat-Cheese-Blackcurrant-Anggur-Guava-Orange-Keju-Chocolate-Stroberi-Cemilan-Anak-Snack-Murah-i.27269094.20452721650?sp_atk=7206afd2-2dc1-415f-a0eb-cded00ae6f71&xptdk=7206afd2-2dc1-415f-a0eb-cded00ae6f71,https://shopee.co.id/Susu-Olahan-cat.11043451.11043517
Bamboe bumbu dapur all varian tahu campur empal soto daging madura nasi uduk tongseng dll,5.500,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/Bamboe-bumbu-dapur-all-varian-tahu-campur-empal-soto-daging-madura-nasi-uduk-tongseng-dll-i.347563410.8579323402?sp_atk=38f0a2c7-914c-4f3c-bc9a-ab2a83856663&xptdk=38f0a2c7-914c-4f3c-bc9a-ab2a83856663,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564
Cetak Stiker Label Kemasan / Stiker makanan plus Cutting ukuran A3+ berkualitas,8.550,314 Terjual,KAB. NGAWI,https://shopee.co.id/Cetak-Stiker-Label-Kemasan-Stiker-makanan-plus-Cutting-ukuran-A3-berkualitas-i.70967659.21192725113?sp_atk=887e254e-a40d-4734-87d7-e48fac8b9373&xptdk=887e254e-a40d-4734-87d7-e48fac8b9373,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
BOX BASRENG RENDANG 250 GRAM,35.789,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/BOX-BASRENG-RENDANG-250-GRAM-i.70550410.23182831258?sp_atk=636f20bc-f878-44ce-8dd1-4d334d15c390&xptdk=636f20bc-f878-44ce-8dd1-4d334d15c390,https://shopee.co.id/Makanan-Minuman-cat.11043451
Muesli Safiya 1 kg Dried Fruit with Almond Healthy Food | Sereal Sarapan Sehat,55.390,"1,1RB Terjual",KOTA SURABAYA,https://shopee.co.id/Muesli-Safiya-1-kg-Dried-Fruit-with-Almond-Healthy-Food-Sereal-Sarapan-Sehat-i.264534458.16375068135?sp_atk=5cf44149-ce21-4d18-9af7-bab926407cac&xptdk=5cf44149-ce21-4d18-9af7-bab926407cac,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496
Inaco jelly curah kiloan,28.000,"1,1RB Terjual",KOTA JAKARTA TIMUR,https://shopee.co.id/Inaco-jelly-curah-kiloan-i.54084590.4420694298?sp_atk=7af8aed3-b6f9-44fc-a8af-1588623c8e79&xptdk=7af8aed3-b6f9-44fc-a8af-1588623c8e79,https://shopee.co.id/Makanan-Minuman-Lainnya-cat.11043451.11043556
Tango Wafer 39g All Variant - ( Coklat / Vanilla / Strawberry / Milky Chocolate ),1.400,10RB+ Terjual,KOTA JAKARTA TIMUR,https://shopee.co.id/Tango-Wafer-39g-All-Variant-(-Coklat-Vanilla-Strawberry-Milky-Chocolate-)-i.37513253.23855870090?sp_atk=77919964-6f3f-4a2e-8b5a-464c152231d5&xptdk=77919964-6f3f-4a2e-8b5a-464c152231d5,https://shopee.co.id/Makanan-Minuman-cat.11043451
GLAZE COLLINS Repack 250gr - Collins Dip GLAZE Donat Topping & Filling (Olesan&Isian),10.404,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/GLAZE-COLLINS-Repack-250gr-Collins-Dip-GLAZE-Donat-Topping-Filling-(Olesan-Isian)-i.10970573.23728633764?sp_atk=24669452-64e6-40b3-9450-6e4780dcc2b1&xptdk=24669452-64e6-40b3-9450-6e4780dcc2b1,https://shopee.co.id/Makanan-Minuman-cat.11043451
TEH NYAPU 1 slop isi 10 teh tubruk wangi,33.880,10RB+ Terjual,KAB. SUKOHARJO,https://shopee.co.id/TEH-NYAPU-1-slop-isi-10-teh-tubruk-wangi-i.12709193.20917485396?sp_atk=f0ba882b-da8e-4477-bb1b-2da867f9b5ce&xptdk=f0ba882b-da8e-4477-bb1b-2da867f9b5ce,https://shopee.co.id/Minuman-cat.11043451.11043502
Mochi Koshoku 30gr Kue Moci Taburan Kelapa Berbagai Varian Rasa,1.820,"1,3RB Terjual",KOTA MALANG,https://shopee.co.id/Mochi-Koshoku-30gr-Kue-Moci-Taburan-Kelapa-Berbagai-Varian-Rasa-i.930619088.24856862749?sp_atk=3a87c84d-90c7-4e71-ac9c-a79bc0cfa913&xptdk=3a87c84d-90c7-4e71-ac9c-a79bc0cfa913,https://shopee.co.id/Roti-Kue-cat.11043451.11043544
